acc_kept,ami_all,ami_kept,ari_all,ari_kept,completeness_all,completeness_kept,dataset,dim,error_gap,error_lift,homogeneity_all,homogeneity_kept,k,kept,kept_error,method,n,nmi_all,nmi_kept,overall_accuracy,reduction,rejected,rejected_error,rejection_rate,seed,subset,v_measure_all,v_measure_kept
0.9993287303413886,0.7816799977692389,0.836115741290489,0.3916070759483816,0.5350127952049943,0.6429849790408881,0.7201290633348663,F_new,50,0.3292549086491683,491.4957410562278,0.9983261141206413,0.9978836244254136,20,10428,0.0006712696586114175,all3,13950,0.7821901627769703,0.8365537750614609,0.7470250896057348,umap,3522,0.3299261783077797,0.2524731182795699,11,exact_dedup_clean,0.7821901627769703,0.836553775061461
0.9992729035385362,0.6285247027533805,0.6645763492882982,0.13836693790476004,0.1805286836082358,0.4609491437010837,0.5013730245387973,F_new,50,0.27270217696780963,376.05639405641364,0.99849188274316,0.9979536886670568,60,8252,0.0007270964614638498,all3,13950,0.6307263808587007,0.6674289930669102,0.5911111111111111,umap,5698,0.2734292734292735,0.4084587813620072,11,exact_dedup_clean,0.6307263808587006,0.6674289930669102
0.9993941229930324,0.779938256248838,0.8402905154686839,0.38801167120097135,0.5487877938958726,0.6406352117969482,0.7262321201974137,F_new,100,0.3769577503713374,623.1687669879083,0.9983332867413363,0.9981305806630062,20,9903,0.0006058770069675701,all3,13950,0.7804511888616263,0.8407448009250883,0.7094623655913979,umap,4047,0.37756362737830496,0.2901075268817204,11,exact_dedup_clean,0.7804511888616262,0.8407448009250883
0.9996576905522593,0.6291531184783641,0.6703514234572435,0.1396967193420598,0.1930535842189868,0.4616207033633102,0.5074644426351129,F_new,100,0.22102290459005336,646.6815786091497,0.9984869417072703,0.9989587985727616,60,8764,0.0003423094477407185,all3,13950,0.6313537852994531,0.6730327255528784,0.6280286738351254,umap,5186,0.22136521403779408,0.3717562724014337,11,exact_dedup_clean,0.6313537852994531,0.6730327255528785
0.9993916217625587,0.7856790679758324,0.8188204539129352,0.40165354444622237,0.4806905012507325,0.6483962237174397,0.694822479985086,F_new,200,0.2289333566234425,377.30102875849144,0.9983334621686635,0.9980617179198724,20,11506,0.0006083782374413094,all3,13950,0.7861832484456598,0.8192831132589897,0.8243010752688172,umap,2444,0.2295417348608838,0.17519713261648745,11,exact_dedup_clean,0.7861832484456598,0.8192831132589897
0.9991784037558685,0.6287502469945595,0.6751084543273727,0.13766739994326946,0.20734813168817154,0.4612013125360096,0.5132599669781247,F_new,200,0.24558724353487404,299.9147592738689,0.9984457967725815,0.9977841121240081,60,8520,0.0008215962441314728,all3,13950,0.6309532064715283,0.6778394456161342,0.6102508960573477,umap,5430,0.24640883977900552,0.38924731182795697,11,exact_dedup_clean,0.6309532064715284,0.6778394456161341
0.9878130590339893,0.8796260629201433,0.9155292347825301,0.6800432347192147,0.7695266063690194,0.8141975215530647,0.8558045880738798,V_new,50,0.43794203581816815,36.93535383814411,0.95709420492898,0.9846276755983742,20,17888,0.012186940966010695,all3,20214,0.8798818601085763,0.9157075747414393,0.8741466310477887,umap,2326,0.45012897678417885,0.11506876422281587,11,exact_dedup_clean,0.8798818601085764,0.9157075747414393
0.9872103417451695,0.7679123961662669,0.7855085623850416,0.38199331722097035,0.43506559201348916,0.6308154676712089,0.6556723147198446,V_new,50,0.42893137859933983,34.53736042457104,0.9855572651150146,0.9844403340747793,60,14543,0.012789658254830472,all3,20214,0.7692591621966075,0.787104804076435,0.7102503215593153,umap,5671,0.4417210368541703,0.2805481349559711,11,exact_dedup_clean,0.7692591621966075,0.7871048040764349
0.9883554755729635,0.8905937265989554,0.9117858959732291,0.6935625387845541,0.7442300370351062,0.8148356855721351,0.8491813687802978,V_new,100,0.7211336739075586,62.92899318697965,0.9824366597770045,0.984774351851161,20,18893,0.011644524427036451,all3,20214,0.8908215288263208,0.9119653464226118,0.9237657069357871,umap,1321,0.732778198334595,0.06535074700702484,11,exact_dedup_clean,0.8908215288263209,0.9119653464226118
0.9891936824605154,0.7978337699906715,0.8206670790817414,0.46521544790525254,0.5484086359203643,0.6717817163760255,0.7053483380169467,V_new,100,0.33231349266217614,31.75177935943073,0.9858762613443293,0.9845435539580079,60,16842,0.010806317539484578,all3,20214,0.7990715284839064,0.8218823497377561,0.8241812605125161,umap,3372,0.3431198102016607,0.1668150786583556,11,exact_dedup_clean,0.7990715284839064,0.8218823497377561
