acc_kept,class_id,class_name,dataset,kept,rejected,rejection_rate,seed,total
0.9904761904761905,0,Apple - apple scab,F_new,630,0,0.0,11,630
1.0,1,Apple - black rot,F_new,621,0,0.0,11,621
1.0,2,Apple - cedar apple rust,F_new,275,0,0.0,11,275
1.0,3,Cherry - powdery mildew,F_new,568,484,0.4600760456273764,11,1052
1.0,4,Grape - esca black measles,F_new,1383,0,0.0,11,1383
1.0,5,Grape - leaf blight,F_new,1076,0,0.0,11,1076
1.0,6,Orange - citrus greening,F_new,3527,1980,0.3595424005810786,11,5507
1.0,7,Peach - bacterial spot,F_new,715,1582,0.6887244231606443,11,2297
1.0,8,Strawberry - leaf scorch,F_new,1108,1,0.0009017132551848512,11,1109
0.9904761904761905,0,Apple - apple scab,F_new,630,0,0.0,22,630
1.0,1,Apple - black rot,F_new,621,0,0.0,22,621
1.0,2,Apple - cedar apple rust,F_new,275,0,0.0,22,275
1.0,3,Cherry - powdery mildew,F_new,477,575,0.5465779467680608,22,1052
1.0,4,Grape - esca black measles,F_new,1383,0,0.0,22,1383
1.0,5,Grape - leaf blight,F_new,1076,0,0.0,22,1076
1.0,6,Orange - citrus greening,F_new,4270,1237,0.22462320682767387,22,5507
1.0,7,Peach - bacterial spot,F_new,1711,586,0.25511536787113626,22,2297
1.0,8,Strawberry - leaf scorch,F_new,1109,0,0.0,22,1109
0.9904761904761905,0,Apple - apple scab,F_new,630,0,0.0,33,630
1.0,1,Apple - black rot,F_new,621,0,0.0,33,621
1.0,2,Apple - cedar apple rust,F_new,275,0,0.0,33,275
1.0,3,Cherry - powdery mildew,F_new,963,89,0.08460076045627377,33,1052
1.0,4,Grape - esca black measles,F_new,1383,0,0.0,33,1383
1.0,5,Grape - leaf blight,F_new,1076,0,0.0,33,1076
1.0,6,Orange - citrus greening,F_new,3400,2107,0.38260395859814783,33,5507
1.0,7,Peach - bacterial spot,F_new,1691,606,0.26382237701349587,33,2297
1.0,8,Strawberry - leaf scorch,F_new,1010,99,0.08926961226330027,33,1109
