acc_kept,ami_all,ami_kept,ari_all,ari_kept,completeness_all,completeness_kept,conservative_overall_accuracy,coverage,dataset,feature,homogeneity_all,homogeneity_kept,k,kept,method,n,nmi_all,nmi_kept,reduction,rejected,rejection_rate,seed,v_measure_all,v_measure_kept
0.9944086021505376,0.6179554102699509,0.6179554102699509,0.13050546161763474,0.13050546161763474,0.4522281657715039,0.4522281657715039,0.9944086021505376,1.0,F_new,DINOv2-vit_base_patch14-224,0.9867197829880491,0.9867197829880491,60,13950,DINOv2+KMeans,13950,0.6202065585149323,0.6202065585149323,raw,0,0.0,11,0.6202065585149324,0.6202065585149324
0.9987096774193548,0.6289712074153824,0.6289712074153824,0.14097750546950338,0.14097750546950338,0.4618877551298746,0.4618877551298746,0.9987096774193548,1.0,F_new,DINOv2-vit_base_patch14-224,0.9963810380955533,0.9963810380955533,60,13950,DINOv2+UMAP+KMeans,13950,0.6311815806220661,0.6311815806220661,umap100,0,0.0,11,0.6311815806220661,0.6311815806220661
0.9987096774193548,0.6295594392631082,0.6295594392631082,0.1420640151969514,0.1420640151969514,0.4625113797600402,0.4625113797600402,0.9987096774193548,1.0,F_new,DINOv2-vit_base_patch14-224,0.9964080392058492,0.9964080392058492,60,13950,DINOv2+UMAP+Birch,13950,0.6317690353916231,0.6317690353916231,umap100,0,0.0,11,0.631769035391623,0.631769035391623
0.9987096774193548,0.63223985529427,0.63223985529427,0.14947016367022029,0.14947016367022029,0.4653697602006199,0.4653697602006199,0.9987096774193548,1.0,F_new,DINOv2-vit_base_patch14-224,0.996482756667741,0.996482756667741,60,13950,DINOv2+UMAP+Agglomerative,13950,0.6344455903225403,0.6344455903225403,umap100,0,0.0,11,0.6344455903225403,0.6344455903225403
0.9985840151038389,0.6289712074153824,0.6376656781991382,0.14097750546950338,0.15306327972395478,0.4618877551298746,0.47146302591700445,0.9099641577060932,0.9112544802867384,F_new,DINOv2-vit_base_patch14-224,0.9963810380955533,0.996076058859966,60,12712,DINOv2+UMAP+any2,13950,0.6311815806220661,0.6400007163352291,umap100,1238,0.08874551971326165,11,0.6311815806220661,0.640000716335229
0.9980151345986851,0.6289712074153824,0.673511658519123,0.14097750546950338,0.21057668180560887,0.4618877551298746,0.5122852000900266,0.5767025089605735,0.5778494623655914,F_new,DINOv2-vit_base_patch14-224,0.9963810380955533,0.9948701286979907,60,8061,DINOv2+UMAP+all3,13950,0.6311815806220661,0.67631681115905,umap100,5889,0.42215053763440863,11,0.6311815806220661,0.6763168111590501
0.9939068100358422,0.620318073802891,0.620318073802891,0.13710976853072793,0.13710976853072793,0.4548573378019514,0.4548573378019514,0.9939068100358422,1.0,F_new,DINOv2-vit_base_patch14-224,0.9861828178740972,0.9861828178740972,60,13950,DINOv2+KMeans,13950,0.6225676492877404,0.6225676492877404,raw,0,0.0,22,0.6225676492877404,0.6225676492877404
0.9977777777777778,0.6286880849224508,0.6286880849224508,0.14217163154131954,0.14217163154131954,0.46202131525339174,0.46202131525339174,0.9977777777777778,1.0,F_new,DINOv2-vit_base_patch14-224,0.9943928392406008,0.9943928392406008,60,13950,DINOv2+UMAP+KMeans,13950,0.6309066497971776,0.6309066497971776,umap100,0,0.0,22,0.6309066497971776,0.6309066497971776
0.9977777777777778,0.6322698042234526,0.6322698042234526,0.15196677336588618,0.15196677336588618,0.46594534922047437,0.46594534922047437,0.9977777777777778,1.0,F_new,DINOv2-vit_base_patch14-224,0.9940319756612827,0.9940319756612827,60,13950,DINOv2+UMAP+Birch,13950,0.6344818760432817,0.6344818760432817,umap100,0,0.0,22,0.6344818760432817,0.6344818760432817
0.9977777777777778,0.6287812483232601,0.6287812483232601,0.1437008846740032,0.1437008846740032,0.4621118885576526,0.4621118885576526,0.9977777777777778,1.0,F_new,DINOv2-vit_base_patch14-224,0.9944313382889471,0.9944313382889471,60,13950,DINOv2+UMAP+Agglomerative,13950,0.6309988406901116,0.6309988406901116,umap100,0,0.0,22,0.6309988406901116,0.6309988406901116
